map_id,game_variant_file_name,weight,minimum_player_count,skip_after_veto
360,2v2_team_slayer,9,4,true
350,2v2_team_slayer,9,4,true
310,2v2_team_slayer,9,4,false
360,2v2_team_br,5,4,true
350,2v2_team_br,5,4,true
310,2v2_team_br,4,4,false
360,2v2_team_snipers,2,4,true
350,2v2_team_snipers,2,4,true
310,2v2_team_snipers,2,4,true
360,2v2_team_ball,4,4,true
350,2v2_team_ball,4,4,true
310,2v2_team_ball,4,4,true
360,2v2_team_hill,3,4,true
350,2v2_team_hill,3,4,true
310,2v2_team_hill,3,4,true
360,2v2_2flag,4,4,true
350,2v2_2flag,4,4,true
310,2v2_2flag,4,4,true
360,2v2_1flag,4,4,true
350,2v2_1flag,4,4,true
310,2v2_1flag,4,4,true
