map_variant_file_name,game_variant_file_name,weight,minimum_player_count,skip_after_veto,optional
default_assembly,team_elim_swords,2,6,false,false
swat_pit,team_elim_swords,2,6,false,false
default_heretic,team_elim_swords,2,6,false,false
default_assembly,team_punchout,2,6,false,false
default_blackout,team_punchout,2,6,false,false
default_cold_storage,team_punchout,2,6,false,false
default_assembly,team_rockets,2,6,false,false
default_construct,team_rockets,1,6,false,false
default_ghost_town,team_rockets,2,8,false,false
default_orbital,team_rockets,1,6,false,false
default_assembly,team_splasers,2,6,false,false
default_blackout,team_splasers,1,6,false,false
default_cold_storage,team_splasers,1,6,false,false
default_sandbox,team_splasers,2,6,false,false
default_assembly,team_fiesta,2,6,false,false
default_blackout,team_fiesta,1,6,false,false
default_cold_storage,team_fiesta,1,6,false,false
default_ghost_town,team_fiesta,1,6,false,false
default_orbital,team_fiesta,1,6,false,false
default_assembly,tug_of_war,1,6,false,false
default_blackout,tug_of_war,1,6,false,false
default_ghost_town,tug_of_war,1,6,false,false
default_guardian,tug_of_war,1,6,false,false
default_sandbox,tug_of_war,1,8,false,false
default_heretic,tug_of_war,1,8,false,false
default_assembly,2flag_shotty,2,6,false,false
default_orbital,2flag_shotty,1,8,false,false
swat_pit,2flag_shotty,2,6,false,false
default_sandbox,2flag_shotty,1,8,false,false
default_citadel,2flag_shotty,1,8,false,false
default_assembly,pit_of_joy,1,6,false,false
default_blackout,pit_of_joy,2,6,false,false
default_cold_storage,pit_of_joy,1,6,false,false
default_guardian,pit_of_joy,2,6,false,false
sandbox_sumogrande,team_sumo,6,8,false,false
sandbox_zeus,vip_runforcover,6,8,false,false
sandbox_utahmambo,1_side_assault_ninja,2,8,false,false
default_high_ground,1_side_assault_ninja,2,6,false,false
default_last_resort,1_side_assault_ninja,2,6,false,false
grifball_agla_sandbox,grifball,6,6,false,false
sticky_coldstorage,team_stickies,3,6,false,false
sticky_assembly,team_stickies,3,6,false,false
dodgeball_foundry,dodgeball,3,6,false,false
dodgeball_sandbox,dodgeball,3,6,false,false
GBL_chichenitza,grifball_mayan,6,6,false,false
default_isolation,team_scuds,2,6,false,false
default_blackout,team_scuds,2,6,false,false
default_sandbox,team_scuds,2,6,false,false
