map_id,game_variant_file_name,weight,minimum_player_count,skip_after_veto
30,1_side_ctf,4,8,false
340,1_side_ctf,4,8,false
360,1_side_ctf,4,6,false
310,1_side_ctf,4,6,false
30,multi_flag_ctf,7,8,false
340,multi_flag_ctf,7,8,false
360,multi_flag_ctf,7,6,false
310,multi_flag_ctf,6,6,false
30,1_side_assault,3,8,false
340,1_side_assault,3,8,false
360,1_side_assault,3,6,false
310,1_side_assault,3,6,false
30,neutral_assault,4,8,false
340,neutral_assault,4,8,false
360,neutral_assault,4,6,false
310,neutral_assault,2,8,false
30,5v5_vip,1,8,true
340,5v5_vip,1,8,true
360,5v5_vip,1,6,true
310,5v5_vip,1,6,true
30,territories,3,8,false
340,territories,3,8,false
360,territories,3,8,false
310,territories,3,8,false
30,land_grab,4,8,false
340,land_grab,4,8,false
360,land_grab,4,8,false
310,land_grab,4,8,false
360,multi_flag_ctf_br,7,6,false
30,multi_flag_ctf_br,6,8,false
340,multi_flag_ctf_br,6,8,false
340,team_oddball,3,8,false
360,team_oddball,3,6,false
310,team_oddball,3,6,false
