map_variant_file_name,game_variant_file_name,weight,minimum_player_count,skip_after_veto
default_snowbound,duel_slayer,1,2,false
default_snowbound,duel_brs,1,2,false
default_snowbound,duel_swords,1,2,false
default_snowbound,duel_pistols,1,2,false
default_snowbound,duel_king,1,2,false
default_snowbound,duel_oddball,1,2,false
default_snowbound,duel_slayer,1,2,false
default_snowbound,duel_brs,1,2,false
default_snowbound,duel_swords,1,2,false
default_snowbound,duel_pistols,1,2,false
default_snowbound,duel_king,1,2,false
default_snowbound,duel_oddball,1,2,false
