map_id,game_variant_file_name,weight,minimum_player_count,skip_after_veto
360,rumble_slayer,6,4,true
350,rumble_slayer,6,4,false
360,10_min_slayer_br,5,6,true
350,10_min_slayer_br,4,6,false
360,rumble_oddball,2,4,true
350,rumble_oddball,5,6,false
360,ninjaball,2,4,true
350,ninjaball,2,4,false
360,rumble_crazy_king,2,4,true
350,rumble_crazy_king,2,4,false
360,mosh_pit_king,2,4,true
350,mosh_pit_king,2,4,false
360,juggernaut,2,6,true
350,juggernaut,2,6,false
360,rumble_swords,2,4,true
350,rumble_swords,2,4,false
360,braaaains,3,6,true
350,braaaains,3,6,false
360,save_one_bullet,4,6,true
350,save_one_bullet,4,6,false
