map_id,game_variant_file_name,weight,minimum_player_count,skip_after_veto
350,team_slayer,5,6,false
340,team_slayer,5,6,false
30,team_slayer,5,6,false
360,team_slayer,5,4,true
340,team_oddball,2,6,false
30,team_oddball,2,6,false
360,team_oddball,2,4,true
350,team_oddball,2,4,false
340,team_crazy_king,2,6,false
30,team_crazy_king,2,6,false
360,team_crazy_king,2,4,true
350,team_crazy_king,2,4,false
340,2v2_vip,2,6,false
30,2v2_vip,2,6,false
360,2v2_vip,2,4,true
350,2v2_vip,2,4,false
360,2v2_team_swords,2,4,true
340,2v2_team_swords,2,6,true
30,2v2_team_swords,2,6,true
350,2v2_team_swords,2,4,true
