map_variant_file_name,game_variant_file_name,weight,minimum_player_count,skip_after_veto,optional
default_guardian,2v2_team_slayer,9,4,false,false
year2_snowbound_boundless,2v2_team_slayer,3,4,false,false
year2_epitaph_epilogue,2v2_team_slayer,9,4,false,false
default_construct,2v2_team_slayer,9,4,false,false
default_narrows,2v2_team_slayer,6,4,false,false
default_isolation,2v2_team_slayer,3,4,false,false
year2_the_pit_pitstop,2v2_team_slayer,3,4,false,false
default_foundry,2v2_team_slayer,5,4,false,false
default_blackout,2v2_team_slayer,9,4,false,false
default_ghost_town,2v2_team_slayer,7,4,false,false
default_cold_storage,2v2_team_slayer,8,4,false,false
default_guardian,2v2_team_br,5,4,false,false
default_construct,2v2_team_br,4,4,false,false
default_foundry,2v2_team_br,5,4,false,false
default_narrows,2v2_team_br,4,4,false,false
default_isolation,2v2_team_br,3,4,false,false
year2_snowbound_boundless,2v2_team_br,5,4,false,false
year2_epitaph_epilogue,2v2_team_br,5,4,false,false
year2_the_pit_pitstop,2v2_team_br,2,4,false,false
default_blackout,2v2_team_br,9,4,false,false
default_ghost_town,2v2_team_br,7,4,false,false
default_cold_storage,2v2_team_br,8,4,false,false
