map_variant_file_name,game_variant_file_name,weight,minimum_player_count,skip_after_veto
default_high_ground,team_slayer,5,6,false
default_valhalla,team_slayer,5,6,false
default_snowbound,team_slayer,5,4,true
default_valhalla,team_oddball,2,6,false
default_snowbound,team_oddball,2,4,true
default_high_ground,team_oddball,2,4,false
default_valhalla,team_crazy_king,2,6,false
default_snowbound,team_crazy_king,2,4,true
default_high_ground,team_crazy_king,2,4,false
default_valhalla,2v2_vip,2,6,false
default_snowbound,2v2_vip,2,4,true
default_high_ground,2v2_vip,2,4,false
default_snowbound,2v2_team_swords,2,4,true
default_valhalla,2v2_team_swords,2,6,true
default_high_ground,2v2_team_swords,2,4,true
