map_id,game_variant_file_name,weight,minimum_player_count,skip_after_veto
340,team_swat,6,6,true
310,team_swat,4,6,false
350,team_swat,4,6,false
360,team_swat,4,6,true
310,team_swat_magnums,1,6,true
360,team_swat_magnums,1,6,true
350,team_swat_magnums,1,6,true
310,team_swat_shotguns,1,6,true
360,team_swat_shotguns,1,6,true
350,team_swat_shotguns,1,6,true
310,team_swat_2flag,2,6,true
360,team_swat_2flag,2,6,true
350,team_swat_2flag,2,6,true
310,team_swat_oddball,2,6,true
360,team_swat_oddball,1,6,true
350,team_swat_oddball,1,6,true
340,team_swat_oddball,1,6,true
