map_variant_file_name,game_variant_file_name,weight,minimum_player_count,skip_after_veto
default_snowbound,rumble_slayer,6,4,true
default_high_ground,rumble_slayer,6,4,false
default_snowbound,10_min_slayer_br,5,6,true
default_high_ground,10_min_slayer_br,4,6,false
default_snowbound,rumble_oddball,2,4,true
default_high_ground,rumble_oddball,5,6,false
default_snowbound,ninjaball,2,4,true
default_high_ground,ninjaball,2,4,false
default_snowbound,rumble_crazy_king,2,4,true
default_high_ground,rumble_crazy_king,2,4,false
default_snowbound,mosh_pit_king,2,4,true
default_high_ground,mosh_pit_king,2,4,false
default_snowbound,juggernaut,2,6,true
default_high_ground,juggernaut,2,6,false
default_snowbound,rumble_swords,2,4,true
default_high_ground,rumble_swords,2,4,false
default_snowbound,braaaains,3,6,true
default_high_ground,braaaains,3,6,false
default_snowbound,save_one_bullet,4,6,true
default_high_ground,save_one_bullet,4,6,false
